Date/Time,avg,max,min
2023-04-06 00:00:00,4.71,8.5,1.3
2023-04-05 00:00:00,1.97,4.09,0.01
2023-04-04 00:00:00,0.58,3.74,0
2023-04-03 00:00:00,8.32,10.27,3.92
2023-04-02 00:00:00,10.63,17.33,5.27
2023-04-01 00:00:00,10.7,13.08,9.59
2023-03-31 00:00:00,15.17,22.54,9.89
2023-03-30 00:00:00,10.61,18.91,3.74
2023-03-29 00:00:00,4.9,10.96,-0.96
2023-03-28 00:00:00,3.87,7.96,1.15
2023-03-27 00:00:00,9.38,15.74,2.11
2023-03-26 00:00:00,11.41,19.37,3.11
2023-03-25 00:00:00,12.43,17.89,7.11
2023-03-24 00:00:00,14.14,24.58,4.46
2023-03-23 00:00:00,11.86,21.12,3.75
2023-03-22 00:00:00,11.2,19.88,3.87
2023-03-21 00:00:00,12.24,20.21,5.61
2023-03-20 00:00:00,12.28,20.69,2.2
2023-03-19 00:00:00,9.48,19.4,2.15
2023-03-18 00:00:00,6.07,13.69,-0.91
2023-03-17 00:00:00,4.27,11.96,-1.98
2023-03-16 00:00:00,4.72,9.34,0.37
2023-03-15 00:00:00,7.06,11.45,2.71
2023-03-14 00:00:00,10.51,18.71,4.54
2023-03-13 00:00:00,12.15,21.11,4.17
2023-03-12 00:00:00,14.42,15.17,13.31
2023-03-11 00:00:00,16.76,18.47,15.08
2023-03-10 00:00:00,19.78,21.44,18.11
2023-03-09 00:00:00,20.15,22.64,17.52
2023-03-08 00:00:00,15.57,20.7,10.35
2023-03-07 00:00:00,8.64,15.94,4.33
2023-03-06 00:00:00,6.09,12.04,0.04
2023-03-05 00:00:00,4.57,9.12,0.06
2023-03-04 00:00:00,6.4,13.44,-0.92
2023-03-03 00:00:00,7.29,11.85,4.56
2023-03-02 00:00:00,7.59,15.31,5.53
2023-02-21 00:00:00,,,
